"Step","2025.12.04_09.27.31 - reward_mean","2025.12.04_09.27.31 - reward_mean__MIN","2025.12.04_09.27.31 - reward_mean__MAX","2025.12.04_07.22.35 - reward_mean","2025.12.04_07.22.35 - reward_mean__MIN","2025.12.04_07.22.35 - reward_mean__MAX","2025.12.04_02.41.16 - reward_mean","2025.12.04_02.41.16 - reward_mean__MIN","2025.12.04_02.41.16 - reward_mean__MAX","2025.12.03_22.37.47 - reward_mean","2025.12.03_22.37.47 - reward_mean__MIN","2025.12.03_22.37.47 - reward_mean__MAX","2025.12.03_12.29.51 - reward_mean","2025.12.03_12.29.51 - reward_mean__MIN","2025.12.03_12.29.51 - reward_mean__MAX"
"124","-173.46484375","-173.46484375","-173.46484375","-45.3676875","-45.3676875","-45.3676875","-130.85918750000002","-130.85918750000002","-130.85918750000002","-195.3271875","-195.3271875","-195.3271875","-90.00296875000001","-90.00296875000001","-90.00296875000001"
"128","-180.21675","-180.21675","-180.21675","-35.226093750000004","-35.226093750000004","-35.226093750000004","-164.1718125","-164.1718125","-164.1718125","-126.44365625","-126.44365625","-126.44365625","-131.86684375","-131.86684375","-131.86684375"
"132","-171.72859375000002","-171.72859375000002","-171.72859375000002","-28.65871875","-28.65871875","-28.65871875","-193.31309375","-193.31309375","-193.31309375","-105.18209375","-105.18209375","-105.18209375","-127.78959375","-127.78959375","-127.78959375"
"136","-176.3880625","-176.3880625","-176.3880625","-26.48146875","-26.48146875","-26.48146875","-195.9420625","-195.9420625","-195.9420625","-90.74546874999999","-90.74546874999999","-90.74546874999999","-161.927125","-161.927125","-161.927125"
"140","-176.86009375","-176.86009375","-176.86009375","-25.6274375","-25.6274375","-25.6274375","-195.52028124999998","-195.52028124999998","-195.52028124999998","-143.54490625","-143.54490625","-143.54490625","-157.03859375","-157.03859375","-157.03859375"
"144","-173.29115625","-173.29115625","-173.29115625","-26.1868125","-26.1868125","-26.1868125","-201.6393125","-201.6393125","-201.6393125","-179.7795625","-179.7795625","-179.7795625","-145.89446875","-145.89446875","-145.89446875"
"148","-176.89546875000002","-176.89546875000002","-176.89546875000002","-32.93809375","-32.93809375","-32.93809375","-200.17321875","-200.17321875","-200.17321875","-166.1978125","-166.1978125","-166.1978125","-126.05390624999998","-126.05390624999998","-126.05390624999998"
"152","-174.01375","-174.01375","-174.01375","-50.70078125","-50.70078125","-50.70078125","-190.331125","-190.331125","-190.331125","-172.84393749999998","-172.84393749999998","-172.84393749999998","-142.26828125","-142.26828125","-142.26828125"
"156","-174.71631250000002","-174.71631250000002","-174.71631250000002","-72.1241875","-72.1241875","-72.1241875","-178.69237499999997","-178.69237499999997","-178.69237499999997","-134.5350625","-134.5350625","-134.5350625","-146.92684375","-146.92684375","-146.92684375"
"160","-171.4601875","-171.4601875","-171.4601875","-102.22046875000001","-102.22046875000001","-102.22046875000001","-179.00265625","-179.00265625","-179.00265625","-161.54403125","-161.54403125","-161.54403125","-139.19165625","-139.19165625","-139.19165625"
"164","-163.92125","-163.92125","-163.92125","-151.7786875","-151.7786875","-151.7786875","-183.52581249999997","-183.52581249999997","-183.52581249999997","-148.43","-148.43","-148.43","-122.78593749999999","-122.78593749999999","-122.78593749999999"
"168","-161.7010625","-161.7010625","-161.7010625","-140.33034375","-140.33034375","-140.33034375","-183.79534375","-183.79534375","-183.79534375","-138.34618749999998","-138.34618749999998","-138.34618749999998","-137.646","-137.646","-137.646"
"172","-169.869","-169.869","-169.869","-144.94993749999998","-144.94993749999998","-144.94993749999998","-183.2191875","-183.2191875","-183.2191875","-126.36387499999998","-126.36387499999998","-126.36387499999998","-119.36496875","-119.36496875","-119.36496875"
"176","-161.4275625","-161.4275625","-161.4275625","-141.15840625","-141.15840625","-141.15840625","-183.07559375","-183.07559375","-183.07559375","-102.2445625","-102.2445625","-102.2445625","-113.10246874999999","-113.10246874999999","-113.10246874999999"
"180","-164.36834375","-164.36834375","-164.36834375","-148.31799999999998","-148.31799999999998","-148.31799999999998","-182.98734374999998","-182.98734374999998","-182.98734374999998","-90.81003125","-90.81003125","-90.81003125","-96.53878125","-96.53878125","-96.53878125"
"184","-148.15587499999998","-148.15587499999998","-148.15587499999998","-156.3216875","-156.3216875","-156.3216875","-182.49703125000002","-182.49703125000002","-182.49703125000002","-76.02074999999999","-76.02074999999999","-76.02074999999999","-57.165687500000004","-57.165687500000004","-57.165687500000004"
"188","-145.8534375","-145.8534375","-145.8534375","-156.8695625","-156.8695625","-156.8695625","-182.2909375","-182.2909375","-182.2909375","-104.98349999999999","-104.98349999999999","-104.98349999999999","-26.031875","-26.031875","-26.031875"
"192","-130.1961875","-130.1961875","-130.1961875","-168.54696875","-168.54696875","-168.54696875","-181.95225","-181.95225","-181.95225","-100.497375","-100.497375","-100.497375","-26.826750000000004","-26.826750000000004","-26.826750000000004"
"196","-108.971125","-108.971125","-108.971125","-172.48903124999998","-172.48903124999998","-172.48903124999998","-182.044875","-182.044875","-182.044875","-114.4135625","-114.4135625","-114.4135625","-24.57640625","-24.57640625","-24.57640625"
"200","-79.7479375","-79.7479375","-79.7479375","-178.29709375","-178.29709375","-178.29709375","-182.33846875","-182.33846875","-182.33846875","-118.73987500000001","-118.73987500000001","-118.73987500000001","-27.639343750000002","-27.639343750000002","-27.639343750000002"
"204","-42.481125000000006","-42.481125000000006","-42.481125000000006","-179.24643749999998","-179.24643749999998","-179.24643749999998","-181.15596875","-181.15596875","-181.15596875","-117.03034375","-117.03034375","-117.03034375","-25.89978125","-25.89978125","-25.89978125"
"208","-36.35434375","-36.35434375","-36.35434375","-176.01821875","-176.01821875","-176.01821875","-181.83943749999997","-181.83943749999997","-181.83943749999997","-124.4223125","-124.4223125","-124.4223125","-41.229093750000004","-41.229093750000004","-41.229093750000004"
"212","-60.6138125","-60.6138125","-60.6138125","-178.63609375","-178.63609375","-178.63609375","-181.610875","-181.610875","-181.610875","-125.17881249999999","-125.17881249999999","-125.17881249999999","-34.9669375","-34.9669375","-34.9669375"
"216","-83.61121875","-83.61121875","-83.61121875","-179.80228125000002","-179.80228125000002","-179.80228125000002","-181.7578125","-181.7578125","-181.7578125","-121.89443750000001","-121.89443750000001","-121.89443750000001","-45.187875","-45.187875","-45.187875"
"220","-93.12884375","-93.12884375","-93.12884375","-183.4818125","-183.4818125","-183.4818125","-181.309875","-181.309875","-181.309875","-128.34021875","-128.34021875","-128.34021875","-98.47534375000001","-98.47534375000001","-98.47534375000001"
"224","-156.32446875","-156.32446875","-156.32446875","-181.51437499999997","-181.51437499999997","-181.51437499999997","-181.47153125","-181.47153125","-181.47153125","-116.366625","-116.366625","-116.366625","-54.60178125","-54.60178125","-54.60178125"
"228","-168.46971875","-168.46971875","-168.46971875","-180.60084375","-180.60084375","-180.60084375","-181.14521875","-181.14521875","-181.14521875","-124.16378125","-124.16378125","-124.16378125","-72.53571875","-72.53571875","-72.53571875"
"232","-180.69262500000002","-180.69262500000002","-180.69262500000002","-186.43687500000001","-186.43687500000001","-186.43687500000001","-181.232","-181.232","-181.232","-120.36824999999999","-120.36824999999999","-120.36824999999999","-94.6133125","-94.6133125","-94.6133125"
"236","-190.9295625","-190.9295625","-190.9295625","-186.91696875000002","-186.91696875000002","-186.91696875000002","-180.82915624999998","-180.82915624999998","-180.82915624999998","-112.2251875","-112.2251875","-112.2251875","-117.1131875","-117.1131875","-117.1131875"
"240","-189.83628125","-189.83628125","-189.83628125","-190.293125","-190.293125","-190.293125","-180.487125","-180.487125","-180.487125","-106.0368125","-106.0368125","-106.0368125","-119.9745","-119.9745","-119.9745"
"244","-187.66934375","-187.66934375","-187.66934375","-190.64468749999997","-190.64468749999997","-190.64468749999997","-180.56118750000002","-180.56118750000002","-180.56118750000002","-120.40734375000001","-120.40734375000001","-120.40734375000001","-123.99437499999999","-123.99437499999999","-123.99437499999999"
"248","-184.04584375","-184.04584375","-184.04584375","-188.53378124999998","-188.53378124999998","-188.53378124999998","-180.40025","-180.40025","-180.40025","-107.64865625","-107.64865625","-107.64865625","-157.28825","-157.28825","-157.28825"
"252","-185.64390625","-185.64390625","-185.64390625","-190.35690625","-190.35690625","-190.35690625","-179.38078124999998","-179.38078124999998","-179.38078124999998","-126.16246875","-126.16246875","-126.16246875","-141.69246875","-141.69246875","-141.69246875"
"256","-187.6579375","-187.6579375","-187.6579375","-187.90440625","-187.90440625","-187.90440625","-180.10128125","-180.10128125","-180.10128125","-120.98646875","-120.98646875","-120.98646875","-142.29340625","-142.29340625","-142.29340625"
"260","-185.9818125","-185.9818125","-185.9818125","-187.0605625","-187.0605625","-187.0605625","-180.28475","-180.28475","-180.28475","-101.99753125000001","-101.99753125000001","-101.99753125000001","-146.96346875","-146.96346875","-146.96346875"
